ID,type,actor,action,author
1_2sCXpGa6Klb2TFw9ouqKQnDO2P0berMtQQh-Ecpd0I,spreadsheet,ljudmilla.rozhdestvenskaja,Edited,natalja.artamonova
1G3V6763hZPH-L3VdtfDwF--cZNbOolx4UwGEgciQ5dk,spreadsheet,natalja.votina,Edited,helen.vanganen
1G3V6763hZPH-L3VdtfDwF--cZNbOolx4UwGEgciQ5dk,spreadsheet,natalja.votina,Edited,helen.vanganen
1G3V6763hZPH-L3VdtfDwF--cZNbOolx4UwGEgciQ5dk,spreadsheet,natalja.votina,Edited,helen.vanganen
1dogK3GyYx4tgYqAg5mxX98QN0FUsiHLERwIR1jHH-bQ,spreadsheet,julia.ratsinskaja,Edited,inna.kauts
1_2sCXpGa6Klb2TFw9ouqKQnDO2P0berMtQQh-Ecpd0I,spreadsheet,ljudmilla.svirina,Edited,natalja.artamonova
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
10W-lwD4E4gSQ32dtridfBLpkgR6KCR5ZViEcRj2PTsQ,spreadsheet,jelena.podkolzina,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
10W-lwD4E4gSQ32dtridfBLpkgR6KCR5ZViEcRj2PTsQ,spreadsheet,natalja.erte,Edited,elena.zavora
10W-lwD4E4gSQ32dtridfBLpkgR6KCR5ZViEcRj2PTsQ,spreadsheet,alla.fedorova,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
10W-lwD4E4gSQ32dtridfBLpkgR6KCR5ZViEcRj2PTsQ,spreadsheet,julia.ratsinskaja,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
10W-lwD4E4gSQ32dtridfBLpkgR6KCR5ZViEcRj2PTsQ,spreadsheet,irina.haitina,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,liidia.teska,Edited,arendusjuht
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,jelena.guljaeva,Edited,arendusjuht
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,jelena.guljaeva,Edited,arendusjuht
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,helen.vanganen,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,aleksandra.gavrilova,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,aleksandra.gavrilova,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,aleksandra.gavrilova,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,larissa.repihha,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,larissa.repihha,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,jelena.guljaeva,Edited,arendusjuht
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,jelena.guljaeva,Edited,arendusjuht
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,vladimir.grigorjev,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1zolmPoEe3FgYUqsu1pz9YUMTCC2XoZ4ZVD_y97xxa9M,spreadsheet,marina.baranjuk,Edited,elena.zavora
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1QIg28R2K9LezRK_7pYKl7OS3W6sNC4Ju7Z3-bRQm4F0,spreadsheet,jelena.guljaeva,Edited,arendusjuht
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
1UFoH4YSyWngkZrhPKyB9sTFOFEEJ-1pUP0d-EgveJYs,spreadsheet,irina.haitina,Edited,marina.baranjuk
